student_id,full_name,email,age,course_name,year_of_study,timetable_group,commute_minutes,study_hours_per_week,sleep_hours_avg,attendance_rate,campus_visits_per_week,lms_logins_per_week,library_visits_per_week,avg_assignment_score,avg_quiz_score,events_interested_count,societies_joined_count,society_events_interested_count,helpdesk_messages_count,lost_found_reports_count,high_contrast_enabled,text_scale,notifications_enabled,part_time_job_hours,late_submissions_count,engagement_score,wellbeing_score,risk_score,target_at_risk,target_performance_band,estimated_final_mark
STU0001,Mr. Alister Kinnear,mr..alister.kinnear1@fictional-campus.test,21,Economics and Finance,3,G1,48,24,6.1,89.5,5,34,8,56.4,90.3,6,1,2,0,0,False,sm,False,0,3,22.0,53.8,53.3,False,High,74.2
STU0002,Eamon Dwane,eamon.dwane2@fictional-campus.test,21,Economics and Finance,2,G3,66,22,8.6,78.7,5,28,6,58.3,80.0,6,0,0,2,0,False,base,True,12,2,8.9,57.8,62.5,True,Medium,65.2
STU0003,Mrs. Niamh Tormey,mrs..niamh.tormey3@fictional-campus.test,21,Marketing,1,G2,35,23,6.7,94.8,6,36,3,77.7,81.0,5,1,5,0,0,False,lg,True,0,0,8.1,61.1,28.1,False,High,70.3
STU0004,Stewart Montague,stewart.montague4@fictional-campus.test,28,Business Studies,2,G1,31,16,5.0,72.1,2,23,3,46.6,68.5,2,1,6,2,0,True,lg,True,13,1,14.7,46.3,53.2,False,Low,42.9
STU0005,Anthony Cully,anthony.cully5@fictional-campus.test,23,Computer Science,3,G2,56,14,7.3,73.1,7,30,3,35.6,75.0,5,1,0,2,0,False,base,True,19,1,11.0,67.9,69.6,True,Low,52.6
STU0006,Emmett Roland,emmett.roland6@fictional-campus.test,21,Engineering,4,G3,37,20,5.5,89.0,1,37,4,58.7,86.3,3,1,3,0,0,True,base,True,3,1,8.5,60.7,35.2,False,Medium,64.5
STU0007,Alanis Wrynn-Greely,alanis.wrynn.greely7@fictional-campus.test,24,Psychology,1,G2,47,11,7.9,81.7,4,15,0,71.5,46.1,6,2,2,2,0,False,base,True,3,2,11.7,71.3,52.2,False,Medium,65.5
STU0008,Dr. Colleen Nulty,dr..colleen.nulty8@fictional-campus.test,27,Marketing,1,G2,41,6,7.2,85.1,1,24,3,53.2,65.5,1,1,0,0,0,False,base,True,0,3,10.2,69.0,62.1,True,Low,53.9
STU0009,Dionne Banks-Finnerty,dionne.banks.finnerty9@fictional-campus.test,18,Computer Science,3,G1,14,14,7.0,72.3,3,20,3,64.9,69.6,2,1,4,0,0,False,base,True,14,0,10.0,94.0,45.0,False,Medium,64.2
STU0010,Dr. Eva Kitson,dr..eva.kitson10@fictional-campus.test,19,Data Analytics,3,G1,48,16,7.4,98.7,6,25,8,71.3,68.6,6,1,6,1,0,True,sm,True,0,0,12.1,62.3,24.4,False,Medium,67.8
STU0011,Don Mansfield,don.mansfield11@fictional-campus.test,24,Computer Science,2,G2,61,16,8.9,100.0,5,24,4,58.3,80.5,8,1,3,0,0,False,sm,True,13,3,12.9,71.7,45.1,False,Medium,62.4
STU0012,Calvin McGrenehan,calvin.mcgrenehan12@fictional-campus.test,24,Business Studies,4,G1,64,27,4.9,100.0,4,31,10,66.5,84.1,3,2,2,0,1,True,lg,False,0,1,14.1,36.0,46.0,False,High,71.0
STU0013,Johnny McAreavey,johnny.mcareavey13@fictional-campus.test,20,Computer Science,4,G2,26,23,6.2,88.2,4,32,8,72.2,68.5,5,1,1,0,0,False,sm,False,9,0,14.1,61.6,30.9,False,High,72.8
STU0014,Deirbhile Carr-O'Farrelly,deirbhile.carr.ofarrelly14@fictional-campus.test,19,Engineering,1,G3,28,18,6.3,94.7,1,27,4,67.4,79.9,6,1,3,0,0,False,base,True,6,0,10.4,45.7,34.3,False,High,72.6
STU0015,Brooklyn McGovern,brooklyn.mcgovern15@fictional-campus.test,22,Psychology,3,G3,46,19,5.6,83.8,6,27,4,55.1,71.9,6,1,3,1,0,False,base,True,3,0,18.1,66.4,42.2,False,Medium,60.2
STU0016,Ruairi Leydon,ruairi.leydon16@fictional-campus.test,20,Business Studies,3,G3,31,16,7.0,66.4,4,19,7,28.0,61.4,4,3,5,0,0,False,base,True,23,5,13.0,68.8,91.4,True,Low,36.9
STU0017,Miss Lesley Goff,miss.lesley.goff17@fictional-campus.test,21,Law,1,G3,38,17,6.5,81.9,5,26,4,44.7,76.7,3,2,3,0,0,False,base,False,13,3,11.6,61.9,49.7,False,Medium,60.0
STU0018,Mrs. Alix Heney,mrs..alix.heney18@fictional-campus.test,22,Marketing,2,G2,35,15,7.1,79.3,5,30,6,44.0,75.6,7,2,5,0,0,False,base,True,19,4,14.9,52.1,73.0,True,Low,47.8
STU0019,Dr. Cahir Hever,dr..cahir.hever19@fictional-campus.test,19,Computer Science,2,G3,5,11,6.1,66.1,2,25,3,41.1,70.8,5,1,5,1,0,False,base,True,11,0,14.3,60.1,51.3,True,Low,54.4
STU0020,Mrs. Grainne Kitson,mrs..grainne.kitson20@fictional-campus.test,22,Engineering,1,G3,45,15,8.3,88.6,3,32,6,63.5,75.8,1,1,3,0,0,True,base,True,5,0,13.4,69.4,39.8,False,Medium,67.2
STU0021,Megan McEllistrim,megan.mcellistrim21@fictional-campus.test,21,Law,2,G3,45,11,7.6,77.6,5,20,6,65.1,69.1,5,0,1,0,0,False,base,True,7,1,6.1,61.6,48.1,False,Medium,62.0
STU0022,Joseph McCool,joseph.mccool22@fictional-campus.test,21,Marketing,2,G3,64,14,5.9,71.2,4,31,3,52.8,44.9,6,0,7,0,0,False,base,True,10,0,10.2,41.7,56.6,True,Low,44.5
STU0023,Fintan Considine,fintan.considine23@fictional-campus.test,21,Law,4,G1,36,23,6.5,94.6,4,29,10,65.4,87.0,2,0,2,0,0,False,lg,True,0,2,12.6,45.4,41.3,False,High,74.6
STU0024,Megan Friel-Storey,megan.friel.storey24@fictional-campus.test,26,Computer Science,4,G1,74,16,6.6,86.2,1,33,4,61.8,81.3,6,0,3,2,0,True,base,True,4,1,11.2,57.7,47.2,False,Medium,61.6
STU0025,Ms. Catherine O'Hagan,ms..catherine.ohagan25@fictional-campus.test,18,Law,2,G3,47,14,7.1,69.8,2,25,5,51.9,60.0,4,2,4,1,1,False,base,False,12,2,14.3,65.3,65.1,True,Low,47.7
STU0026,Demi-Leigh Whelan,demi.leigh.whelan26@fictional-campus.test,24,Data Analytics,2,G1,53,24,8.4,91.0,6,33,6,75.4,84.8,6,1,1,0,0,False,base,True,2,0,9.3,60.0,32.4,False,High,78.9
STU0027,Jack Clune,jack.clune27@fictional-campus.test,19,Engineering,3,G3,51,18,7.0,77.8,1,38,5,73.7,70.9,2,1,0,0,0,True,base,True,11,1,8.8,52.6,41.4,False,Medium,65.8
STU0028,Antoin MacGill,antoin.macgill28@fictional-campus.test,17,Engineering,1,G1,23,12,7.1,98.7,3,22,6,53.7,80.0,0,1,6,0,1,False,lg,False,2,0,5.0,64.1,36.2,False,Medium,65.6
STU0029,Demi-Lee Conlan,demi.lee.conlan29@fictional-campus.test,21,Psychology,3,G2,22,17,5.8,97.9,4,25,3,67.0,83.6,5,3,9,1,0,False,base,False,0,0,14.7,41.9,29.6,False,High,73.5
STU0030,Scott MacFall,scott.macfall30@fictional-campus.test,21,Psychology,1,G1,25,9,7.8,74.7,2,26,1,34.9,48.7,0,2,1,0,0,False,base,False,16,2,13.6,71.5,64.2,True,Low,42.2
STU0031,Padraig McMonagle,padraig.mcmonagle31@fictional-campus.test,21,Computer Science,1,G3,40,14,6.8,70.0,5,18,6,58.4,67.3,6,2,3,0,0,False,base,True,5,0,9.6,61.5,54.0,False,Medium,66.3
STU0032,Dr. Conal Kerrigan,dr..conal.kerrigan32@fictional-campus.test,28,Law,2,G2,65,14,6.0,63.0,5,27,3,28.0,44.9,6,1,3,1,0,True,lg,True,35,9,16.9,35.0,100.0,True,Low,43.3
STU0033,Eugene Wynne,eugene.wynne33@fictional-campus.test,19,Marketing,2,G3,43,9,6.8,74.7,5,20,3,50.3,68.6,4,2,6,0,0,False,lg,True,0,1,19.1,86.3,44.7,False,Low,53.6
STU0034,Deborah Mulgrave,deborah.mulgrave34@fictional-campus.test,23,Psychology,4,G1,84,20,6.3,96.2,5,24,7,61.9,74.9,6,1,4,0,0,False,base,True,0,0,15.9,43.0,39.1,False,Medium,61.5
STU0035,Hollie McDermott-Haugh,hollie.mcdermott.haugh35@fictional-campus.test,21,Psychology,3,G2,35,16,7.3,64.4,4,21,4,43.1,58.2,1,3,5,0,0,False,base,False,13,0,17.0,72.7,59.1,True,Low,48.1
STU0036,Pearce Reade,pearce.reade36@fictional-campus.test,28,Data Analytics,2,G3,62,13,7.8,82.9,2,25,3,59.5,60.5,1,3,6,0,0,False,sm,True,13,2,15.4,86.5,64.7,True,Medium,57.9
STU0037,Barry Deloughrey,barry.deloughrey37@fictional-campus.test,19,Business Studies,2,G1,76,21,7.6,85.0,2,30,7,50.0,68.8,3,1,5,1,0,False,base,True,0,2,7.9,58.9,58.0,True,Medium,63.4
STU0038,Vincent Finucane,vincent.finucane38@fictional-campus.test,20,Computer Science,2,G2,41,17,7.2,69.2,2,22,2,58.0,71.7,9,0,1,0,0,False,lg,True,8,1,8.6,71.9,46.3,False,Medium,60.0
STU0039,Dr. Terence Comerford,dr..terence.comerford39@fictional-campus.test,18,Engineering,1,G2,33,15,7.3,81.8,3,24,1,39.4,61.2,2,1,1,0,0,False,base,False,0,2,5.0,61.2,56.3,True,Low,46.0
STU0040,Haley O'Kieve,haley.okieve40@fictional-campus.test,18,Data Analytics,1,G2,28,7,6.2,72.0,2,13,7,39.4,57.1,4,2,3,1,1,False,base,True,0,2,8.8,57.1,61.8,True,Low,42.8
STU0041,Darragh Walls,darragh.walls41@fictional-campus.test,20,Data Analytics,1,G2,35,7,6.6,60.7,4,16,2,40.1,59.5,3,0,0,0,0,False,base,True,13,1,7.2,57.5,61.8,True,Low,44.6
STU0042,Mrs. Nichole Devereux,mrs..nichole.devereux42@fictional-campus.test,18,Law,1,G1,56,20,7.1,71.7,1,29,6,53.1,69.1,2,1,3,2,0,False,base,True,16,2,5.5,75.7,56.1,True,Low,50.5
STU0043,Dr. Zak Maxwell,dr..zak.maxwell43@fictional-campus.test,25,Computer Science,1,G1,43,19,6.0,89.4,5,32,7,75.6,76.2,7,2,6,0,0,False,base,True,7,0,9.6,63.8,43.8,False,Medium,63.9
STU0044,Glen Mulry,glen.mulry44@fictional-campus.test,22,Psychology,2,G3,43,8,4.7,48.7,2,21,1,28.0,56.0,1,0,0,2,0,True,base,True,26,1,5.0,35.0,94.8,True,Low,35.4
STU0045,Matthew Annsboro,matthew.annsboro45@fictional-campus.test,18,Marketing,1,G2,5,13,5.3,96.7,1,22,4,56.6,66.8,1,0,0,0,0,False,base,True,0,3,8.1,38.4,52.7,False,Medium,59.1
STU0046,Miss Kathy Gaughan,miss.kathy.gaughan46@fictional-campus.test,27,Business Studies,1,G3,84,9,5.1,76.7,5,25,5,28.6,59.8,6,1,2,1,0,False,lg,False,19,4,7.9,49.6,82.5,True,Low,47.7
STU0047,Bethany Lordan,bethany.lordan47@fictional-campus.test,19,Business Studies,1,G2,47,12,7.2,79.1,3,23,3,66.0,61.0,3,2,6,0,0,False,base,True,11,0,16.8,57.2,46.0,False,Medium,58.0
STU0048,Ms. Carolyn McGillicuddy,ms..carolyn.mcgillicuddy48@fictional-campus.test,20,Marketing,1,G3,79,18,6.9,92.4,6,26,5,59.8,88.6,4,1,6,1,0,True,lg,False,16,1,15.1,59.2,54.9,False,Medium,67.4
STU0049,Mr. Rohan Spenser,mr..rohan.spenser49@fictional-campus.test,20,Data Analytics,4,G2,66,21,7.3,90.7,4,34,3,75.4,81.8,5,1,2,2,0,False,base,True,8,0,6.5,59.5,33.2,False,High,74.7
STU0050,Thomas MacNeill,thomas.macneill50@fictional-campus.test,19,Economics and Finance,1,G3,53,15,5.9,80.5,5,26,5,28.0,65.9,6,0,3,0,0,False,sm,False,19,4,7.1,42.1,73.1,True,Low,45.1
STU0051,Aine Dermody,aine.dermody51@fictional-campus.test,28,Law,3,G2,46,14,6.8,72.6,1,30,5,57.7,70.8,3,1,3,0,0,False,sm,True,11,0,9.6,82.4,48.1,False,Low,46.9
STU0052,Tiegan MacBreen,tiegan.macbreen52@fictional-campus.test,21,Law,1,G3,35,15,7.9,72.3,5,28,7,66.3,70.6,3,2,3,1,0,False,lg,True,0,1,14.9,63.9,47.9,False,Medium,64.7
STU0053,Blaine Hourigan,blaine.hourigan53@fictional-campus.test,22,Law,1,G3,11,16,6.8,80.3,3,24,10,57.2,79.9,5,1,2,0,0,False,base,True,14,0,14.4,56.3,48.6,False,Medium,58.0
STU0054,Aoibhin Creedon-Qualter,aoibhin.creedon.qualter54@fictional-campus.test,22,Data Analytics,1,G1,29,9,6.4,74.2,6,25,2,48.8,54.3,6,0,1,1,0,False,base,False,16,1,13.2,49.3,66.6,True,Low,52.8
STU0055,Mrs. Sabrina Stephenson,mrs..sabrina.stephenson55@fictional-campus.test,24,Data Analytics,2,G3,67,17,8.5,79.8,1,28,3,63.0,56.5,4,2,7,1,0,False,base,True,6,1,25.0,71.4,45.3,False,Medium,59.6
STU0056,Mr. Ciaran O'Sharkey,mr..ciaran.osharkey56@fictional-campus.test,18,Data Analytics,2,G2,5,11,7.3,70.3,2,17,5,34.9,61.1,5,2,2,0,0,False,lg,True,19,4,12.7,84.0,76.6,True,Low,50.7
STU0057,Cathy Kerrisk,cathy.kerrisk57@fictional-campus.test,21,Computer Science,2,G1,17,13,7.7,64.8,3,33,5,36.4,61.7,8,2,5,0,0,False,sm,False,15,4,16.6,75.5,69.9,True,Low,40.0
STU0058,Therese Moore,therese.moore58@fictional-campus.test,19,Engineering,2,G1,51,14,7.5,75.4,3,28,4,69.0,61.6,2,2,5,1,0,False,sm,False,5,2,14.2,50.8,54.6,False,Medium,59.1
STU0059,Rohan Groarke,rohan.groarke59@fictional-campus.test,19,Psychology,2,G2,32,16,6.1,89.6,6,25,7,61.9,63.9,7,0,1,0,0,False,base,True,0,1,10.5,51.8,50.8,False,Medium,55.4
STU0060,Miss Hollie McGettrick,miss.hollie.mcgettrick60@fictional-campus.test,23,Computer Science,1,G1,50,8,8.1,65.3,4,24,3,43.4,56.1,4,2,6,0,0,False,base,True,24,3,10.3,70.2,85.1,True,Low,42.3
STU0061,Victoria Sharpe,victoria.sharpe61@fictional-campus.test,22,Law,2,G1,19,20,8.3,85.9,1,35,6,67.1,75.2,6,1,3,0,0,False,base,True,13,0,10.0,79.8,38.3,False,Medium,69.5
STU0062,Bronagh Jameson,bronagh.jameson62@fictional-campus.test,19,Marketing,1,G3,44,21,6.0,79.5,4,35,5,60.4,71.0,2,1,4,1,0,False,base,True,0,0,11.3,66.5,45.1,False,High,71.6
STU0063,Bradley Marren,bradley.marren63@fictional-campus.test,19,Law,2,G3,36,12,5.6,83.6,3,20,2,58.5,67.4,8,1,6,0,0,False,base,True,0,2,15.1,64.1,48.1,False,Medium,63.3
STU0064,Steven Walshe,steven.walshe64@fictional-campus.test,21,Marketing,1,G3,65,14,7.7,80.4,3,22,9,58.9,52.5,3,2,7,1,0,False,base,True,13,1,13.3,81.7,54.5,False,Low,53.4
STU0065,Steven Hawthorn,steven.hawthorn65@fictional-campus.test,25,Engineering,3,G1,47,17,7.9,73.2,6,26,5,53.8,68.6,5,2,6,0,0,False,lg,True,14,2,10.5,72.6,51.1,False,Medium,56.3
STU0066,Brett Coleman,brett.coleman66@fictional-campus.test,20,Law,2,G1,38,19,8.8,86.6,6,32,6,64.6,64.4,7,1,4,0,0,False,lg,True,2,1,16.0,81.9,41.7,False,Medium,65.7
STU0067,Breandan Burns,breandan.burns67@fictional-campus.test,21,Law,2,G3,57,14,6.5,65.2,4,20,3,48.7,67.5,2,1,0,0,0,False,lg,True,12,2,10.0,67.5,64.5,True,Low,47.7
STU0068,Miss Anne-Marie Seally,miss.anne.marie.seally68@fictional-campus.test,19,Data Analytics,3,G2,41,20,7.5,84.3,4,24,4,68.3,73.5,4,2,5,1,0,False,base,True,8,0,20.8,69.7,48.7,False,High,70.8
STU0069,Garrett Purcell,garrett.purcell69@fictional-campus.test,18,Engineering,1,G1,48,2,6.4,68.9,4,17,1,30.0,58.6,3,0,0,0,0,False,base,True,16,3,6.4,49.9,69.7,True,Low,34.0
